contractid,planid,org_type,plan_type,partd,snp,eghp,org_name,org_marketing_name,plan_name,parent_org,contract_date
H2228,13,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Nursing Home Plan 1 (PPO I-SNP),"UnitedHealth Group, Inc.",01/01/2005
H2228,44,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Dual Complete (PPO D-SNP),"UnitedHealth Group, Inc.",01/01/2005
H2944,114,PFFS,PFFS,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Gold Choice H2944-114 (PFFS),Humana Inc.,01/01/2010
H3256,1,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Dual Complete Choice LP (PPO D-SNP),"UnitedHealth Group, Inc.",01/01/2021
H3256,2,Local CCP,Local PPO,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Dual Complete Choice Select LP (PPO D-SNP),"UnitedHealth Group, Inc.",01/01/2021
H3288,23,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,24,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,25,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,26,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,27,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,28,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,29,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,30,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,31,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,32,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,33,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,34,Local CCP,Local PPO,No,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Eagle Plan (PPO),CVS Health Corporation,01/01/2020
H3288,35,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2020
H3288,36,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,37,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,38,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,39,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,40,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,41,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,42,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,43,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,44,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Preferred Premium Plan (PPO),CVS Health Corporation,01/01/2020
H3288,45,Local CCP,Local PPO,Yes,No,No,AETNA HEALTH AND LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Plus Plan (PPO),CVS Health Corporation,01/01/2020
H3291,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"PRUITTHEALTH PREMIER, INC.",PruittHealth Premier,PruittHealth Premier (HMO I-SNP),"UNICO Premier, LLC",01/01/2016
H4141,3,Local CCP,HMO/HMOPOS,Yes,Yes,No,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana,Humana Gold Plus SNP-DE H4141-003 (HMO D-SNP),Humana Inc.,01/01/2010
H4141,15,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana,Humana Gold Plus H4141-015 (HMO),Humana Inc.,01/01/2010
H4141,17,Local CCP,HMO/HMOPOS,Yes,No,No,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana,Humana Gold Plus H4141-017 (HMO),Humana Inc.,01/01/2010
H4513,30,Local CCP,HMO/HMOPOS,Yes,No,No,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC.",Cigna,Cigna Preferred Medicare (HMO),CIGNA,03/01/2001
H5141,26,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5141,45,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy Value (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5141,46,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5141,47,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy Value (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5141,48,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5141,49,Local CCP,Local PPO,Yes,No,No,CLOVER INSURANCE COMPANY,Clover Health,Clover Health LiveHealthy Value (PPO),"Clover Health Holdings, Inc.",01/01/2013
H5216,71,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-071 (PPO),Humana Inc.,07/01/2005
H5216,73,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-073 (PPO),Humana Inc.,07/01/2005
H5216,142,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-142 (PPO),Humana Inc.,07/01/2005
H5216,143,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-143 (PPO),Humana Inc.,07/01/2005
H5216,154,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-154 (PPO),Humana Inc.,07/01/2005
H5216,157,Local CCP,Local PPO,No,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-157 (PPO),Humana Inc.,07/01/2005
H5216,203,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-203 (PPO),Humana Inc.,07/01/2005
H5216,205,Local CCP,Local PPO,Yes,Yes,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice SNP-DE H5216-205 (PPO D-SNP),Humana Inc.,07/01/2005
H5216,206,Local CCP,Local PPO,Yes,Yes,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice SNP-DE H5216-206 (PPO D-SNP),Humana Inc.,07/01/2005
H5216,207,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-207 (PPO),Humana Inc.,07/01/2005
H5216,217,Local CCP,Local PPO,No,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Honor (PPO),Humana Inc.,07/01/2005
H5216,239,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Care Extra (PPO),Humana Inc.,07/01/2005
H5216,240,Local CCP,Local PPO,Yes,Yes,No,HUMANA INSURANCE COMPANY,Humana,Humana Care Extra (PPO D-SNP),Humana Inc.,07/01/2005
H5216,246,Local CCP,Local PPO,Yes,Yes,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice - Diabetes and Heart (PPO C-SNP),Humana Inc.,07/01/2005
H5216,280,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-280 (PPO),Humana Inc.,07/01/2005
H5216,282,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-282 (PPO),Humana Inc.,07/01/2005
H5216,284,Local CCP,Local PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice H5216-284 (PPO),Humana Inc.,07/01/2005
H5216,286,Local CCP,Local PPO,No,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Honor (PPO),Humana Inc.,07/01/2005
H5302,12,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (GA),Aetna Medicare,Aetna Medicare Dual Preferred Plan (HMO D-SNP),CVS Health Corporation,01/01/2007
H5302,13,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (GA),Aetna Medicare,Aetna Medicare Dual Preferred Plan (HMO D-SNP),CVS Health Corporation,01/01/2007
H5302,14,Local CCP,HMO/HMOPOS,Yes,Yes,No,AETNA HEALTH INC. (GA),Aetna Medicare,Aetna Medicare Dual Preferred Plan (HMO D-SNP),CVS Health Corporation,01/01/2007
H5302,18,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (GA),Aetna Medicare,Aetna Medicare Premier Plan (HMO),CVS Health Corporation,01/01/2007
H5302,19,Local CCP,HMO/HMOPOS,Yes,No,No,AETNA HEALTH INC. (GA),Aetna Medicare,Aetna Medicare Premier Plan (HMO),CVS Health Corporation,01/01/2007
H5322,4,Local CCP,HMO/HMOPOS,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Nursing Home Plan (HMO-POS I-SNP),"UnitedHealth Group, Inc.",01/01/2014
H5322,30,Local CCP,HMO/HMOPOS,Yes,Yes,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Dual Complete (HMO-POS D-SNP),"UnitedHealth Group, Inc.",01/01/2014
H5422,7,Local CCP,HMO/HMOPOS,Yes,Yes,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue Dual Advantage (HMO D-SNP),Anthem Inc.,01/01/2006
H5422,8,Local CCP,HMO/HMOPOS,Yes,No,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue Essential (HMO),Anthem Inc.,01/01/2006
H5422,11,Local CCP,HMO/HMOPOS,Yes,No,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue Plus (HMO),Anthem Inc.,01/01/2006
H5422,13,Local CCP,HMO/HMOPOS,Yes,No,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue Extra (HMO),Anthem Inc.,01/01/2006
H5422,14,Local CCP,HMO/HMOPOS,No,No,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue Service (HMO),Anthem Inc.,01/01/2006
H5422,16,Local CCP,HMO/HMOPOS,Yes,Yes,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue + Kroger Dual Advantage (HMO D-SNP),Anthem Inc.,01/01/2006
H5422,17,Local CCP,HMO/HMOPOS,Yes,No,No,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Blue Cross and Blue Shield,Anthem MediBlue + Kroger (HMO),Anthem Inc.,01/01/2006
H5521,91,Local CCP,Local PPO,Yes,No,No,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Essential Plan (PPO),CVS Health Corporation,01/01/2006
H5521,177,Local CCP,Local PPO,Yes,No,No,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),CVS Health Corporation,01/01/2006
H5521,328,Local CCP,Local PPO,Yes,No,No,AETNA LIFE INSURANCE COMPANY,Aetna Medicare,Aetna Medicare Choice Plan (PPO),CVS Health Corporation,01/01/2006
H5525,24,Local CCP,Local PPO,Yes,No,No,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana,HumanaChoice H5525-024 (PPO),Humana Inc.,01/01/2006
H6528,6,Local CCP,Local PPO,Yes,No,No,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Choice Plan 1 (PPO),"UnitedHealth Group, Inc.",01/01/2009
H7173,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"PEACH STATE HEALTH PLAN, INC.",Wellcare by Allwell,Wellcare Dual Access Medicare (HMO D-SNP),Centene Corporation,01/01/2011
H7173,2,Local CCP,HMO/HMOPOS,Yes,No,No,"PEACH STATE HEALTH PLAN, INC.",Wellcare by Allwell,Wellcare No Premium Medicare (HMO),Centene Corporation,01/01/2011
H7173,7,Local CCP,HMO/HMOPOS,Yes,No,No,"PEACH STATE HEALTH PLAN, INC.",Wellcare by Allwell,Wellcare Giveback Medicare (HMO),Centene Corporation,01/01/2011
H7728,5,Local CCP,Local PPO,Yes,No,No,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Access (PPO),Anthem Inc.,01/01/2013
H7728,6,Local CCP,Local PPO,Yes,No,No,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Access Basic (PPO),Anthem Inc.,01/01/2013
H7728,11,Local CCP,Local PPO,Yes,Yes,No,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue Dual Access (PPO D-SNP),Anthem Inc.,01/01/2013
H7728,12,Local CCP,Local PPO,Yes,No,No,"ANTHEM HEALTH PLANS OF NEW HAMPSHIRE, INC.",Anthem Blue Cross and Blue Shield,Anthem MediBlue + Kroger Access (PPO),Anthem Inc.,01/01/2013
H7849,3,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H7849,20,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H7849,21,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H7849,22,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H7849,23,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H7849,35,Local CCP,Local PPO,Yes,No,No,CIGNA HEALTH AND LIFE INSURANCE COMPANY,Cigna,Cigna True Choice Medicare (PPO),CIGNA,01/01/2020
H8093,1,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GEORGIA ASSURANCE, INC.",Georgia Health Advantage,Georgia Health Advantage (HMO I-SNP),"American Health Companies, Inc.",01/01/2020
H8093,2,Local CCP,HMO/HMOPOS,Yes,Yes,No,"GEORGIA ASSURANCE, INC.",Georgia Health Advantage,Georgia Health Advantage Choice (HMO I-SNP),"American Health Companies, Inc.",01/01/2020
H8145,69,PFFS,PFFS,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,Humana Gold Choice H8145-069 (PFFS),Humana Inc.,01/01/2011
H8748,8,Local CCP,HMO/HMOPOS,Yes,No,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,AARP Medicare Advantage Plus Plan 1 (HMO-POS),"UnitedHealth Group, Inc.",01/01/2009
H8748,9,Local CCP,HMO/HMOPOS,Yes,No,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,AARP Medicare Advantage Plus Plan 2 (HMO-POS),"UnitedHealth Group, Inc.",01/01/2009
R2604,1,Regional CCP,Regional PPO,Yes,No,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Choice (Regional PPO),"UnitedHealth Group, Inc.",01/01/2020
R2604,2,Regional CCP,Regional PPO,Yes,Yes,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,UnitedHealthcare Medicare Silver (Regional PPO C-SNP),"UnitedHealth Group, Inc.",01/01/2020
R2604,3,Regional CCP,Regional PPO,Yes,Yes,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,UnitedHealthcare Medicare Gold (Regional PPO C-SNP),"UnitedHealth Group, Inc.",01/01/2020
R2604,5,Regional CCP,Regional PPO,No,No,No,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,UnitedHealthcare Medicare Advantage Patriot (Regional PPO),"UnitedHealth Group, Inc.",01/01/2020
R3392,1,Regional CCP,Regional PPO,No,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice R3392-001 (Regional PPO),Humana Inc.,01/01/2018
R3392,2,Regional CCP,Regional PPO,Yes,No,No,HUMANA INSURANCE COMPANY,Humana,HumanaChoice R3392-002 (Regional PPO),Humana Inc.,01/01/2018
S4802,82,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
S4802,94,Medicare Prescription Drug Plan,Medicare Prescription Drug Plan,Yes,No,No,"WELLCARE PRESCRIPTION INSURANCE, INC.",Wellcare,Wellcare Classic (PDP),Centene Corporation,01/01/2006
